,word,average/std,percent_std,rating,word_count,divisor,percent,type,normilization_divisor,normilized_percent,mean,median,mode,zeros,total_word_count,percent_average
0,rockets,1.6448464963661464,2.71106786058952e-05,,,,,1,0.00044592904719015355,0.0,7.774982288664621,11,10,4,46.0,4459.290471901537
11,gangster,1.043339306976404,3.846000277343192e-05,,,,,1,0.0004012683263994303,0.0,6.955222056635191,11,5,4,46.0,4012.683263994303
22,subjects,1.6362586851765473,4.233797348951721e-05,,,,,1,0.0006927587683499693,0.0,5.854628342787124,11,4,2,46.0,6927.587683499693
33,collaborate,1.1538819380688778,6.508966333139609e-05,,,,,1,0.0007510578687308211,0.0,5.645201777855309,11,2,3,46.0,7510.578687308211
44,gasp,1.209620249019788,3.4798383198100165e-05,,,,,1,0.0004209282894957193,0.0,8.312834483218346,11,7,4,46.0,4209.282894957194
55,●,0.7988414121658282,4.2865313929849717e-05,,,,,1,0.00034242587912652694,0.0,9.750927738158959,11,11,5,46.0,3424.2587912652693
66,yer,1.2687888655160169,6.613686934394486e-05,,,,,1,0.0008391372342368481,0.0,5.496339045445365,11,2,3,46.0,8391.372342368482
77,area-majority,1.5686475160395026,3.369581356393914e-05,,,,,1,0.0005285685424800332,0.0,7.074401449482844,11,4,2,46.0,5285.68542480033
88,looming,1.6869248374000378,2.7423690650673792e-05,,,,,1,0.00046261704891796817,0.0,7.759606130809135,11,11,3,46.0,4626.170489179682
99,warts,1.6009730883043984,2.571642784904019e-05,,,,,1,0.0004117130891363511,0.0,7.368121596463244,11,7,4,46.0,4117.130891363511
110,tragic,0.6789487203200911,0.0002352091111584072,,,,,1,0.0015969492502862662,0.0,3.687338729032746,11,2,3,46.0,15969.492502862659
121,gondor,0.8487160381842463,5.38306506246036e-05,,,,,1,0.0004568693653099389,0.0,8.862742601813702,11,11,5,46.0,4568.693653099389
132,rogues,0.8602424059709941,3.8851482551588624e-05,,,,,1,0.00033421692825718686,0.0,9.589734472550093,11,11,5,46.0,3342.169282571869
143,database,0.6993161975755537,0.00014067611516178566,,,,,1,0.0009837708594464068,0.0,4.66804299548932,11,2,3,46.0,9837.708594464068
154,co-operatively,1.6019757991154442,3.346005490441201e-05,,,,,1,0.0005360219819394206,0.0,7.013645447671717,11,3,5,46.0,5360.219819394208
165,itand,1.5460421004566454,3.5819021175646445e-05,,,,,1,0.0005537771473469749,0.0,6.945695808685019,11,3,3,46.0,5537.77147346975
176,ccg-like,1.4061128179972362,3.028862794213861e-05,,,,,1,0.00042589227988990355,0.0,7.6249274187970615,11,10,4,46.0,4258.922798899035
187,96,0.6474160495086934,7.493312643321041e-05,,,,,1,0.00048512908692724535,0.0,9.597503786868744,11,11,5,46.0,4851.290869272453
198,shoulder,0.967590260457104,8.040458438681983e-05,,,,,1,0.0007779869274878822,0.0,5.645523144575011,11,4,3,46.0,7779.869274878822
209,remarks,0.8488191833075699,0.0001421960240041379,,,,,1,0.0012069871296477594,0.0,4.318297787824557,11,2,1,46.0,12069.871296477595
220,doh,0.8832213311372837,6.816195767858471e-05,,,,,1,0.0006020209499380277,0.0,5.423640292566957,11,2,4,46.0,6020.209499380277
231,cried,0.6484121830933504,0.00021042244772525665,,,,,1,0.0013644047870138003,0.0,3.8726766562107313,11,2,3,46.0,13644.047870138005
242,zack,0.5396520949328275,8.568223780817209e-05,,,,,1,0.00046238599131712794,0.0,10.248502629588854,11,10,8,47.0,4623.85991317128
253,97,0.9079396108661274,8.241944888552522e-05,,,,,1,0.0007483188234892444,0.0,6.499653981419211,11,2,5,47.0,7483.1882348924455
264,sleevedinventoried,0.5814855232702582,4.2217970686536825e-05,,,,,1,0.00024549138776069283,0.0,9.11994778624124,11,9,7,47.0,2454.913877606928
275,mystic,1.025364343209852,7.007162944243962e-05,,,,,1,0.0007184895030089127,0.0,5.691824363686482,11,2,3,47.0,7184.8950300891265
286,8-player,1.219662363728363,6.644846269268829e-05,,,,,1,0.0008104468907388012,0.0,5.673275884576474,11,2,2,47.0,8104.468907388014
297,luring,1.5603510785709906,3.521357663208224e-05,,,,,1,0.0005494554227821176,0.0,7.086721569967571,11,4,2,47.0,5494.554227821175
308,archer,1.5530280035007575,3.064398319742456e-05,,,,,1,0.0004759096404440702,0.0,7.331599131166338,11,5,3,47.0,4759.096404440702
319,sizable,1.2711923955891922,6.290705601769779e-05,,,,,1,0.0007996697123860074,0.0,5.048292707916798,11,2,4,47.0,7996.697123860076
330,saturated,1.343011152731333,3.2593453037115395e-05,,,,,1,0.00043773370934870927,0.0,7.678037945299154,11,5,3,47.0,4377.337093487093
341,compensates,1.3909222191907884,3.671288670152419e-05,,,,,1,0.0005106476984378401,0.0,7.1495634915051,11,3,4,47.0,5106.476984378402
352,oddball,1.4083535512797811,2.919576218485349e-05,,,,,1,0.0004111795535535835,0.0,7.629182336387754,11,6,3,47.0,4111.795535535836
363,napoleonics,1.3783057434937582,2.857621181873005e-05,,,,,1,0.0003938675687704985,0.0,7.839768262564467,11,10,5,47.0,3938.6756877049843
374,consolidate,1.2535816319841553,2.8988810055064253e-05,,,,,1,0.0003633983981810612,0.0,7.952785993810933,11,10,5,47.0,3633.983981810612
